1,2
0.97138,1.3089
1.0129,1.3563
1.0518,1.417
1.1116,1.4862
1.1727,1.5443
1.0845,1.4963
0.98439,1.359
1.0035,1.4099
1.0765,1.4848
1.1508,1.5314
1.1963,1.5674
1.1714,1.5695
1.1291,1.4996
1.1575,1.5576
1.2164,1.6307
1.2697,1.6913
1.3176,1.7246
1.35,1.7329
1.2923,1.6878
1.3186,1.7206
1.3574,1.7734
1.4154,2.5698
1.476,3.4122
1.3484,1.7734
0.076143,0.45003
5.035,0.094083
1.3101,4.1836
6.0952,1.4216
6.1393,2.1105
6.1429,0.3825
5.7455,6.1459
2.0067,6.0533
4.6173,6.1204
2.5338,6.2188
2.0228,6.2388
5.244,0.027629
3.3098,5.2142
3.9633,4.4607
4.0223,4.5329
4.0944,4.5803
4.1895,4.6387
4.2436,4.7163
4.2026,4.7359
1.3214,4.7382
4.7558,4.8103
4.301,4.8691
4.3781,4.9568
4.4392,5.0204
4.4108,4.9869
4.3813,5.0034
4.4234,5.0305
4.4663,5.081
4.5092,5.1149
4.5401,5.1592
4.3408,4.9326
4.076,4.7361
3.6512,4.7644
5.8907,4.8464
4.2745,4.9261
3.8278,4.9806
0.16767,5.2133
4.7968,5.3871
4.7639,5.4238
4.8306,5.4852
4.9081,5.5174
4.9588,5.5763
4.9507,5.5623
4.9544,5.5215
4.9968,5.6085
5.0525,5.7016
5.134,5.8
5.2106,5.8561
5.1398,5.8082
5.0959,5.7505
5.1717,5.8048
5.2529,5.8579
5.3133,5.9374
5.369,6.0134
5.3533,5.9163
5.2839,5.8309
5.3393,5.9094
5.4116,5.9776
5.4997,6.0351
5.5854,6.1223
5.5899,6.1565
5.5812,6.1865
5.6477,6.2713
5.7901,0.0847
5.8844,0.1576
5.9925,0.24837
6.0653,0.3207
6.0776,0.30889
6.1682,0.35636
6.28,0.4251
0.11134,0.48927
0.18843,0.57354
0.3256,0.71221
1.0015,1.5237
1.5013,1.9349
1.5743,1.9983
1.6404,2.0438
1.7322,1.2309
1.7875,0.65579
1.4865,1.7599
1.2744,1.5996
1.3269,1.6659
1.3866,1.7245
1.4568,1.7836
1.5331,1.7972
2.0992,0.63139
0.41335,6.2306
5.9954,6.2068
6.0737,4.3882
6.1522,0.60533
6.2224,0.20441
6.2261,0.20423
6.2259,4.6067
0.014851,3.1126
5.3718,0.40135
2.134,5.0428
0.24957,3.7157
0.29948,3.7712
0.29727,2.0472
0.37025,4.9435
2.5136,3.9065
5.9017,2.4323
1.995,5.0309
4.7298,3.9792
6.0867,2.1762
0.11124,4.7297
0.16018,3.7666
0.20748,3.7917
0.25457,2.0279
6.1208,4.4575
4.8514,4.2252
5.61,4.3042
3.931,0.071137
3.9012,4.7896
3.9362,4.496
1.4542,4.4824
1.7169,4.4413
3.9406,4.5042
0.96451,4.5516
3.2846,4.6269
5.4537,4.701
4.5911,4.7352
5.9701,4.6339
2.5183,4.6812
4.9508,4.7581
4.2359,4.8284
