1,1,1,1,1,2,2,2,2,2
-42,-48,-47.5,-46,-45.5,-44.5,-48,-47.5,-46.5,-46.5
-42.5,-49,-47.5,-48,-43,-44.5,-48,-48,-47,-45
-43.5,-48.5,-47.5,-49,-42,-45.5,-47.5,-48,-48,-44
-45,-46,-47.5,-48.5,-42.5,-46.5,-47,-47.5,-48,-44.5
-47,-44,-47.5,-47.5,-43.5,-47,-45.5,-48,-48,-45
-48.5,-42.5,-48,-47.5,-45,-47.5,-44.5,-48,-47.5,-46
-49,-42.5,-49,-47.5,-47.5,-48,-44.5,-48,-48,-47
-48.5,-43,-49,-47.5,-48.5,-48,-45,-48,-48,-47.5
-47.5,-44.5,-47,-47.5,-48.5,-48,-46,-47,-47.5,-48
-47.5,-46.5,-44.5,-47.5,-48,-48,-47,-46,-47.5,-48
-48,-48,-43,-47.5,-47.5,-48,-47.5,-45,-48,-47.5
-48,-49,-42,-48.5,-47.5,-48.5,-48,-44.5,-48,-47.5
-48,-48.5,-42.5,-49,-47.5,-48,-48,-44.5,-48,-48
-47.5,-47.5,-44,-48,-47.5,-48,-48,-45.5,-47.5,-47.5
-48,-47.5,-45.5,-45.5,-47.5,-48,-47.5,-46.5,-46.5,-47.5
-49,-47.5,-47.5,-43.5,-47.5,-48.5,-48,-47.5,-45,-48
-49,-48,-48.5,-42.5,-48,-48.5,-48,-48,-44.5,-48
-48.5,-48,-49,-42.5,-49,-48,-48,-48,-44.5,-48
-46.5,-48,-48,-43.5,-48.5,-47,-48,-48,-45.5,-48
-44,-48,-47.5,-44.5,-46.5,-45.5,-48,-48,-46,-47
-42.5,-48.5,-47.5,-47,-44.5,-45,-48.5,-48,-47,-46
-42.5,-49,-48,-48,-42.5,-45,-48.5,-48,-47.5,-44.5
-43,-49,-48,-49,-42,-45.5,-48,-48.5,-48,-44.5
-44.5,-47.5,-48,-48.5,-43,-46.5,-47.5,-48,-48,-45
-46.5,-45,-47.5,-47.5,-44,-47,-46,-48,-48,-45.5
-48.5,-43,-48.5,-47.5,-46,-48,-45,-48,-47.5,-46.5
-50,-42.5,-49,-48,-48,-48,-45,-48.5,-48,-47.5
-49,-42.5,-49,-48,-48.5,-48.5,-45,-48,-48.5,-48
-48,-44,-48,-48,-48.5,-48,-46,-48,-48,-48
-48,-45.5,-46,-48,-48,-48,-47,-46.5,-48,-48
-48.5,-47.5,-44,-48,-47.5,-48.5,-48,-45.5,-48,-47.5
-48.5,-49.5,-42.5,-48.5,-47.5,-48.5,-48,-45,-48.5,-48
-48.5,-49.5,-42.5,-49,-48,-48.5,-48,-45,-48.5,-48
-48,-48.5,-43.5,-48.5,-48,-48,-48,-45.5,-48,-48
-48,-48,-45,-47,-48,-48,-48,-46.5,-47,-48
-48.5,-48,-47,-44.5,-47.5,-48.5,-48,-47.5,-46,-48
-49.5,-48.5,-49,-43,-48.5,-48.5,-48.5,-48,-45,-48
-50,-48.5,-50,-42.5,-49,-48.5,-48.5,-48,-45,-48.5
-48,-48.5,-48.5,-43,-49,-48.5,-48.5,-48.5,-45.5,-48
-46,-48,-48,-44.5,-48,-48,-48,-48,-46.5,-47.5
-45,-48.5,-48,-46,-45.5,-47,-48.5,-48,-47,-46.5
-43.5,-49,-48.5,-48,-43.5,-46,-48.5,-48.5,-48,-45.5
-44,-50.5,-48.5,-50,-42.5,-46,-48.5,-48.5,-48,-45
-45,-49,-48.5,-49,-42.5,-47,-48.5,-48.5,-48.5,-45
-47,-46.5,-48,-48.5,-43.5,-48,-48,-48,-48,-46
-49,-45,-48,-48,-45.5,-48,-47.5,-48,-48,-46.5
-49.5,-44,-48.5,-48.5,-47,-48,-46.5,-48.5,-48.5,-47.5
-48.5,-43.5,-50,-48.5,-49.5,-48.5,-46,-48.5,-48.5,-48
-47.5,-44.5,-49.5,-48.5,-49.5,-48.5,-46.5,-48.5,-48.5,-48
-47.5,-46,-47.5,-48,-48.5,-48,-47.5,-48.5,-48,-48.5
-48,-48,-45.5,-48,-48,-48,-48,-47.5,-48,-48
-48,-49.5,-44.5,-48.5,-48,-48,-48,-47,-48.5,-48
-48,-49,-43.5,-49.5,-48.5,-48,-48.5,-46,-48.5,-48.5
-47.5,-48,-44,-50,-48.5,-48,-48.5,-46.5,-48.5,-48.5
-48,-47.5,-45.5,-48.5,-48.5,-48,-48,-47,-48.5,-48.5
-49,-48,-47.5,-46.5,-48,-48,-48,-48,-48,-48
-48.5,-48,-49,-45,-48,-48,-48,-48,-47,-48
-46.5,-48,-49,-44,-49,-47,-48,-48,-46.5,-48.5
-44,-47.5,-48.5,-44,-50,-45.5,-48,-48.5,-46,-48.5
-42,-47.5,-47.5,-45,-49.5,-44.5,-48,-48,-47,-48.5
-41,-48.5,-47.5,-46.5,-47,-43.5,-48,-48,-47.5,-48
-41,-48.5,-48,-48.5,-45.5,-43,-48,-48,-48,-47.5
-41.5,-47.5,-48,-49.5,-44.5,-44,-47.5,-48,-48,-46.5
-43,-45,-48,-49,-43.5,-45,-46,-48,-48.5,-46
-45.5,-42.5,-47.5,-48,-44.5,-46,-45,-48,-48.5,-46.5
-47.5,-41,-48,-47.5,-46,-47,-43.5,-48,-48,-47.5
-48.5,-41,-49,-48,-48,-47.5,-43,-48,-48,-48
-49,-41.5,-48,-48,-49,-48,-43.5,-48,-48,-48
-48,-42.5,-46,-48,-49,-48,-44.5,-46.5,-48,-48
-47.5,-44.5,-43.5,-47.5,-48,-48,-45.5,-45.5,-48,-48.5
-47.5,-46.5,-41.5,-48,-47.5,-47.5,-46.5,-44,-48,-48
-47.5,-48.5,-41,-48.5,-47.5,-47.5,-47.5,-43.5,-48,-48
-47.5,-49,-41,-48.5,-48,-48,-48,-43,-48,-48
-47.5,-48.5,-42,-47,-48,-48,-48,-44,-47,-48
-48,-47.5,-43.5,-44.5,-47.5,-48,-48,-45,-46,-48
-48.5,-47.5,-45.5,-42.5,-47.5,-48.5,-48,-46,-44.5,-48
-49,-47.5,-47.5,-41,-48.5,-48.5,-47.5,-47,-43.5,-48
-49,-47.5,-48.5,-41,-49,-48,-48,-47.5,-43,-48
-47,-47.5,-48.5,-41.5,-48,-47.5,-48,-48,-43.5,-47.5
-45,-47.5,-48,-42.5,-45.5,-46.5,-48,-48,-44.5,-46.5
-43,-48,-47.5,-45,-43,-45.5,-48.5,-48,-45.5,-45
-41.5,-49,-47.5,-47,-41.5,-44.5,-48.5,-47.5,-47,-44
-42,-49.5,-47.5,-48.5,-41,-44.5,-48.5,-48,-47.5,-43
-43,-48,-47.5,-49,-41.5,-45.5,-47.5,-48,-48,-43
-45,-45.5,-47.5,-48,-42,-46.5,-46.5,-48,-48,-44.5
-47,-43.5,-48,-47.5,-44,-47.5,-45.5,-48,-48,-45
-48.5,-42,-48.5,-47.5,-46,-48,-45,-48.5,-47.5,-46.5
-49,-41.5,-49.5,-47.5,-48,-48,-44.5,-48.5,-47.5,-47.5
-48.5,-42.5,-48.5,-47.5,-49,-48,-45,-48,-48,-47.5
-48,-44.5,-46.5,-47.5,-48.5,-48,-46,-47,-48,-48
-47.5,-46,-44.5,-47.5,-47.5,-48,-47,-46,-48,-48
-47.5,-48,-42.5,-48.5,-47.5,-48,-48,-45,-48.5,-48
-47.5,-49,-41.5,-49,-47.5,-48,-48,-44.5,-48.5,-47.5
-47.5,-49,-42,-49,-47.5,-48,-48,-45,-48,-48
-48,-48,-43.5,-47.5,-47.5,-48.5,-48,-45.5,-47.5,-48
-49,-47.5,-45.5,-45,-47.5,-48.5,-48,-47,-46.5,-48
-50,-47.5,-47.5,-43,-48,-48.5,-48,-47.5,-45.5,-48.5
-49,-47.5,-48.5,-42,-49,-48.5,-48,-48,-45,-48.5
-47.5,-47.5,-49,-42,-49.5,-48,-48,-48,-44.5,-48.5
-45.5,-47.5,-48.5,-43,-48,-47,-48.5,-48,-45,-48
-44,-48.5,-48,-44.5,-46,-46,-48.5,-48,-46.5,-47
-43.5,-49.5,-47.5,-46.5,-44,-45.5,-48.5,-48,-47.5,-46
-44.5,-49.5,-47.5,-48.5,-42.5,-46.5,-48.5,-48,-48,-45
-45.5,-48,-47.5,-49,-41.5,-47,-48,-48,-48,-44.5
-47,-46.5,-47.5,-48.5,-42.5,-47.5,-47.5,-48,-48,-45
-49,-44.5,-48,-48,-44,-48,-46.5,-48.5,-48,-46
-49.5,-43.5,-49,-47.5,-45.5,-48.5,-45.5,-48.5,-48,-47
-48.5,-44,-50,-47.5,-48,-48.5,-46,-48.5,-48,-48
