1,1,1,1,1,2,2,2,2,2
-50.5,-50,-49,-49,-49,-47,-48,-48.5,-48.5,-50
-50.5,-50,-49.5,-49,-49,-46.5,-47.5,-48.5,-48.5,-50
-50.5,-50,-49.5,-49,-49,-46.5,-47,-48,-48.5,-49.5
-50,-50,-49.5,-49,-49,-46,-47,-48,-48.5,-49
-50,-50,-49.5,-49,-49,-46,-47,-48,-48.5,-49
-50,-50.5,-50,-49,-49,-46,-47,-48,-48.5,-48.5
-49.5,-50.5,-50,-49,-49,-46,-46.5,-47.5,-48.5,-48.5
-49.5,-50.5,-50,-49.5,-49,-46.5,-46.5,-47.5,-48,-48.5
-49,-50,-50,-49.5,-49,-46.5,-46.5,-47,-48,-48.5
-49,-50,-50,-49.5,-49,-46.5,-46,-47,-48,-48.5
-49,-50,-50,-50,-49,-46.5,-46,-47,-48,-48.5
-48.5,-50,-50.5,-50,-49,-47,-46,-47,-48,-48.5
-48.5,-49.5,-50.5,-50,-49.5,-47,-46.5,-46.5,-47.5,-48
-48.5,-49,-50.5,-50,-49.5,-47,-46.5,-46.5,-47,-48
-48,-49,-50,-50,-49.5,-47,-46.5,-46,-47,-48
-48,-49,-50,-50,-50,-48,-46.5,-46,-47,-48
-48,-48.5,-50,-50.5,-50,-48,-47,-46,-47,-48
-48.5,-48.5,-49.5,-50.5,-50,-48.5,-47,-46,-46.5,-47.5
-49,-48.5,-49.5,-50.5,-50,-49.5,-47,-46.5,-46.5,-47.5
-49,-48,-49,-50,-50,-50.5,-47,-46.5,-46,-47
-49.5,-48,-49,-50,-50,-51.5,-47.5,-46.5,-46,-47
-50.5,-48,-49,-50,-50.5,-52.5,-48,-46.5,-46,-47
-51,-48.5,-48.5,-49.5,-50.5,-53.5,-48.5,-47,-46,-46.5
-51.5,-48.5,-48.5,-49.5,-50.5,-54.5,-49,-47,-46.5,-46.5
-51.5,-49,-48.5,-49,-50.5,-54.5,-50,-47,-46.5,-46.5
-51.5,-49.5,-48,-49,-50,-55,-51,-47.5,-46.5,-46
-51.5,-50,-48,-49,-50,-55.5,-52,-48,-46.5,-46
-51.5,-50.5,-48,-48.5,-50,-56,-53.5,-48,-47,-46
-51.5,-51.5,-48.5,-48.5,-49.5,-56,-54,-49,-47,-46
-52.5,-51.5,-49,-48.5,-49,-57,-54.5,-49.5,-47,-46.5
-53,-51.5,-49,-48,-49,-57.5,-55,-50.5,-47,-46.5
-53.5,-51.5,-50,-48,-49,-58.5,-55.5,-51.5,-48,-46.5
-54,-51.5,-50.5,-48,-48.5,-59.5,-56,-53,-48,-47
-55.5,-51.5,-51,-48.5,-48.5,-60.5,-56,-54,-48.5,-47
-56,-52,-51.5,-48.5,-48.5,-61,-56.5,-54.5,-49.5,-47
-55.5,-52.5,-51.5,-49,-48,-60,-57,-54.5,-50.5,-47
-55.5,-53.5,-51.5,-49.5,-48,-59.5,-58,-55.5,-51.5,-47.5
-56,-54,-51.5,-50,-48,-59.5,-59,-55.5,-52.5,-48
-56.5,-55,-51.5,-51,-48.5,-58.5,-60,-56,-53.5,-48.5
-56.5,-56,-51.5,-51.5,-48.5,-58.5,-61,-56.5,-54,-49
-56.5,-56,-52.5,-51.5,-49,-58,-60.5,-57,-54.5,-50
-57,-55.5,-53,-51.5,-49.5,-57.5,-59.5,-57.5,-55,-51
-57,-56,-53.5,-51.5,-50,-57.5,-59.5,-58.5,-55.5,-52
-56,-56.5,-54.5,-51.5,-50.5,-57,-59,-60,-56,-53
-56,-56.5,-55.5,-51.5,-51,-56.5,-58.5,-60.5,-56,-54
-55,-56.5,-56,-52,-51.5,-56,-58,-61,-56.5,-54.5
-54.5,-56.5,-55.5,-52.5,-51.5,-56,-58,-60,-57.5,-55
-54.5,-57,-55.5,-53.5,-51.5,-55.5,-57.5,-59.5,-58.5,-55.5
-54,-56.5,-56.5,-54,-51.5,-55,-57,-59,-59.5,-55.5
-53.5,-56,-56.5,-55,-51.5,-55,-56.5,-58.5,-60,-56
-53,-55.5,-56.5,-56,-52,-55,-56,-58.5,-61,-56.5
-52.5,-55,-56.5,-55.5,-52.5,-55,-56,-58,-60.5,-57
-52,-54.5,-57,-55.5,-53,-55,-55.5,-57.5,-59.5,-58
-51.5,-54,-56.5,-56,-54,-54.5,-55,-57.5,-59.5,-59
-51.5,-54,-56,-56.5,-54.5,-54.5,-55,-57,-59,-60
-51,-53,-55.5,-56.5,-55.5,-54.5,-55,-56,-58.5,-60.5
-51,-52.5,-55,-56.5,-56,-54.5,-55,-56,-58,-60.5
-50.5,-52,-54.5,-56.5,-55.5,-54,-55,-56,-58,-59.5
-50,-51.5,-54.5,-57,-56,-54,-55,-55.5,-57.5,-59.5
-50,-51.5,-54,-56,-56.5,-54,-54.5,-55,-57,-59
-50,-51,-53.5,-56,-56.5,-53.5,-54.5,-55,-56.5,-58.5
-49.5,-51,-53,-55,-56.5,-53.5,-54.5,-55,-56,-58.5
-49.5,-50.5,-52,-54.5,-56.5,-52.5,-54,-55,-56,-58
-49.5,-50.5,-52,-54.5,-57,-52,-54,-55,-55.5,-57.5
-49.5,-50,-51.5,-54,-56.5,-52,-54,-54.5,-55,-57.5
-49.5,-50,-51,-53.5,-56,-51.5,-53.5,-54.5,-55,-56.5
-49.5,-49.5,-51,-53,-55.5,-50.5,-53.5,-54.5,-55,-56
-49.5,-49.5,-51,-52.5,-55,-50.5,-53,-54.5,-55,-56
-49.5,-49.5,-50.5,-52,-54.5,-50,-52.5,-54,-55,-56
-49.5,-49.5,-50,-51.5,-54.5,-50,-52,-54,-54.5,-55
-49.5,-49,-50,-51.5,-54,-50,-51.5,-54,-54.5,-55
-49.5,-49.5,-50,-51,-53.5,-49.5,-51,-53.5,-54.5,-55
-49,-49.5,-49.5,-51,-52.5,-49.5,-50.5,-53,-54.5,-55
-49,-49.5,-49.5,-50.5,-52,-49,-50,-52.5,-54,-55
-49,-49.5,-49.5,-50.5,-52,-49,-50,-52,-54,-55
-49,-49.5,-49.5,-50,-51.5,-49,-50,-52,-54,-54.5
-49,-49.5,-49.5,-50,-51,-48.5,-49.5,-51,-53.5,-54.5
-49,-49.5,-49.5,-49.5,-51,-48.5,-49.5,-50.5,-53.5,-54.5
-49,-49,-49.5,-49.5,-50.5,-48.5,-49.5,-50.5,-53,-54.5
-49.5,-49,-49.5,-49.5,-50.5,-48.5,-49,-50,-52,-54
-49.5,-49,-49.5,-49.5,-50,-48,-49,-50,-52,-54
-49.5,-49,-49.5,-49,-50,-48,-48.5,-50,-51.5,-54
-49.5,-49,-49.5,-49.5,-49.5,-48,-48.5,-49.5,-51,-53.5
-50,-49,-49,-49.5,-49.5,-48,-48.5,-49.5,-50.5,-53
-50,-49.5,-49,-49.5,-49.5,-48,-48.5,-49,-50,-52.5
-50.5,-49.5,-49,-49.5,-49.5,-47.5,-48.5,-49,-50,-52
-50.5,-49.5,-49,-49.5,-49,-47.5,-48,-48.5,-50,-51.5
-51,-49.5,-49,-49.5,-49.5,-47.5,-48,-48.5,-49.5,-51
-51,-50,-49,-49.5,-49.5,-47,-48,-48.5,-49.5,-50.5
-51.5,-49.5,-49.5,-49,-49.5,-47,-48,-48.5,-49,-50.5
-51.5,-50,-49.5,-49,-49.5,-47,-47.5,-48.5,-49,-50
-51.5,-50.5,-49.5,-49,-49.5,-47,-47.5,-48,-49,-50
-51,-51,-49.5,-49,-49.5,-46.5,-47.5,-48,-48.5,-50
-51,-51,-49.5,-49,-49.5,-46.5,-47,-48,-48.5,-49.5
-50.5,-51,-50,-49,-49,-46.5,-47,-48,-48.5,-49.5
-50,-51.5,-50,-49.5,-49,-46.5,-47,-48,-48.5,-49
-50,-51.5,-50.5,-49.5,-49,-47,-47,-47.5,-48,-49
-50,-51.5,-50.5,-49.5,-49,-47.5,-47,-47.5,-48,-48.5
-50,-51,-51,-49.5,-49,-47.5,-46.5,-47.5,-48,-48.5
-50,-50.5,-51,-50,-49,-47.5,-46.5,-47,-48,-48.5
-49.5,-50.5,-51.5,-49.5,-49.5,-47.5,-46.5,-47,-48,-48.5
-49.5,-50,-51.5,-50,-49.5,-47.5,-47,-47,-47.5,-48.5
-49.5,-50,-51.5,-50.5,-49.5,-47.5,-47.5,-47,-47.5,-48
-49.5,-50,-51,-51,-49.5,-47.5,-47.5,-46.5,-47.5,-48
-49.5,-50,-51,-51,-49.5,-48,-47.5,-46.5,-47,-48
-49.5,-50,-50.5,-51.5,-49.5,-48.5,-47.5,-46.5,-47,-48
-49.5,-49.5,-50,-51.5,-50,-48.5,-47.5,-47,-47,-47.5
-49.5,-49.5,-50,-51.5,-50.5,-49.5,-47.5,-47,-47,-47.5
-50,-49.5,-50,-51.5,-50.5,-50,-47.5,-47.5,-47,-47.5
-50,-49.5,-50,-51,-51,-51,-48,-47.5,-46.5,-47
-49.5,-49.5,-50,-50.5,-51,-51,-48,-47.5,-46.5,-47
-50,-49.5,-49.5,-50.5,-51.5,-52,-48.5,-47.5,-46.5,-47
-50,-49.5,-49.5,-50,-51.5,-52.5,-49,-47.5,-47,-47
-50.5,-50,-49.5,-50,-51.5,-53.5,-50,-47.5,-47.5,-47
-50.5,-50,-49.5,-50,-51,-54,-51,-48,-47.5,-46.5
-50.5,-49.5,-49.5,-50,-51,-54.5,-51,-48,-47.5,-46.5
-50.5,-49.5,-49.5,-49.5,-50.5,-55,-51.5,-48.5,-47.5,-46.5
-51,-50,-49.5,-49.5,-50,-55,-52.5,-49,-47.5,-47
-50.5,-50.5,-49.5,-49.5,-50,-55,-53,-49.5,-47.5,-47
-51,-50.5,-50,-49.5,-50,-55.5,-53.5,-50.5,-47.5,-47.5
-51.5,-50.5,-50,-49.5,-50,-56.5,-54,-51,-48,-47.5
-52,-50.5,-49.5,-49.5,-50,-57,-54.5,-51.5,-48.5,-47.5
-51.5,-50.5,-50,-49.5,-49.5,-56.5,-55,-52,-48.5,-47.5
-52,-51,-50,-49.5,-49.5,-57,-55,-53,-49,-47.5
-53,-51,-50.5,-50,-49.5,-58,-55.5,-53.5,-50,-47.5
-54.5,-51.5,-50.5,-50,-49.5,-59,-56,-54,-51,-48
-55.5,-52,-50.5,-49.5,-49.5,-59.5,-57,-54.5,-51,-48
-56,-51.5,-50.5,-50,-49.5,-59.5,-56.5,-55,-52,-48.5
-56.5,-52,-51,-50,-49.5,-59.5,-57,-55,-52.5,-49
-56.5,-52.5,-50.5,-50.5,-49.5,-59,-57.5,-55,-53.5,-50
-56.5,-54,-51,-50.5,-50,-58.5,-58.5,-55.5,-53.5,-50.5
-56.5,-55,-52,-50.5,-49.5,-58,-59.5,-56.5,-54,-51
-56.5,-56,-52,-50.5,-49.5,-57.5,-60,-57,-55,-51.5
-56,-56.5,-51.5,-51,-50,-56.5,-59.5,-57,-55,-52.5
-55.5,-56.5,-52.5,-50.5,-50.5,-56,-59,-57.5,-55,-53
-55.5,-57,-53.5,-51,-50.5,-56,-59,-58,-55.5,-53.5
-55,-56.5,-54.5,-51.5,-50.5,-55.5,-58.5,-59,-56.5,-54
-54.5,-56.5,-55.5,-52,-50.5,-55,-57.5,-60,-57,-54.5
-54.5,-56,-56,-51.5,-50.5,-55,-57,-59.5,-56.5,-55
-54,-56,-56.5,-52,-51,-54.5,-56.5,-59.5,-57,-55
-53.5,-55.5,-57,-53,-51,-54.5,-56,-59,-58,-55
-53.5,-55,-56.5,-54,-51,-54.5,-55.5,-58.5,-58.5,-56
-52.5,-55,-56.5,-55.5,-52,-54.5,-55.5,-58,-59.5,-57
-52.5,-54.5,-56,-56,-52,-54.5,-55,-57,-59.5,-57
-52,-54,-56,-56.5,-51.5,-54.5,-54.5,-56.5,-59.5,-57
-52,-54,-55.5,-56.5,-52.5,-54.5,-54.5,-56,-59,-57.5
-51.5,-53.5,-55,-57,-53.5,-54.5,-54.5,-55.5,-59,-58.5
-51.5,-53,-55,-56.5,-55,-54.5,-54.5,-55.5,-58,-59
-51,-52.5,-54.5,-56.5,-56,-54.5,-54.5,-55,-57.5,-60
-51,-52,-54,-56,-56.5,-54.5,-54.5,-55,-57,-59.5
