x,y,z
0.0045339,0,0
-0.0050669,0,0
-0.0045397,0,0
0.0063725,0,0
0.0024941,0,0
0.0022848,0,0
-0.0034324,0,0
0.00075852,0,0
0.00060782,0,0
0.0003554,0,0
0.00078375,0,0
7.4362e-05,0,0
0.0020704,0,0
-0.00020287,0,0
-0.0054502,0,0
-0.0049242,0,0
-0.0028049,0,0
0.0018204,0,0
0.0070712,0,0
0.0042297,0,0
0.0023688,0,0
-0.0030454,0,0
0.0012169,0,0
-0.0013856,0,0
0.0044948,0,0
-0.00017564,0,0
-0.0033981,0,0
-0.0045817,0,0
-0.0024816,0,0
-0.0016301,0,0
0.008624,0,0
-0.0022467,0,0
0.0016465,0,0
0.00078605,0,0
0.0026361,0,0
0.001883,0,0
-0.0048798,0,0
0.00061207,0,0
0.0047304,0,0
-0.0006619,0,0
0.0021157,0,0
0.0043139,0,0
0.0023133,0,0
0.0038909,0,0
0.0034225,0,0
0.001946,0,0
0.0024514,0,0
-0.0023661,0,0
0.0019407,0,0
0.0015631,0,0
-0.00074296,0,0
-0.0018534,0,0
0.00080156,0,0
0.0032069,0,0
-0.00070164,0,0
0.0018518,0,0
0.0079542,0,0
-0.0026088,0,0
-0.0028999,0,0
-0.0021102,0,0
-0.00024067,0,0
0.06942,0,0
-0.0041107,0,0
-0.025082,0,0
0.032005,0,0
-0.032376,0,0
-0.044186,0,0
0.057273,0,0
-0.0046675,0,0
0.0075128,0,0
0.015839,0,0
-0.0097046,0,0
0.027958,0,0
-0.023187,0,0
-0.017165,0,0
0.012116,0,0
-0.0024899,0,0
-0.011651,0,0
-0.025646,0,0
0.024624,0,0
0.0021387,0,0
0.052433,0,0
-0.044399,0,0
0.069878,0,0
-0.0026467,0,0
-0.075833,0,0
0.0023193,0,0
0.073958,0,0
0.035029,0,0
-0.060414,0,0
-0.042913,0,0
-0.00071807,0,0
0.036818,0,0
0.045048,0,0
0.0051806,0,0
0.024787,0,0
-0.10147,0,0
0.063605,0,0
0.070566,0,0
-0.044462,0,0
0.03587,0,0
-0.12793,0,0
-0.0083899,0,0
0.10504,0,0
-0.033841,0,0
-0.020565,0,0
0.028891,0,0
-0.094132,0,0
0.041605,0,0
0.088661,0,0
0.024122,0,0
-0.12945,0,0
-0.035798,0,0
0.027613,0,0
0.093026,0,0
0.0078046,0,0
0.014754,0,0
-0.025136,0,0
-0.1126,0,0
0.054935,0,0
0.10433,0,0
0.0023161,0,0
-0.07923,0,0
-0.074035,0,0
0.007645,0,0
0.080957,0,0
0.02302,0,0
-0.03165,0,0
-0.08237,0,0
-0.0085375,0,0
0.074308,0,0
0.039426,0,0
-0.0038605,0,0
-0.018885,0,0
-0.080553,0,0
-0.0087272,0,0
0.083926,0,0
0.044069,0,0
-0.01325,0,0
-0.053441,0,0
-0.058209,0,0
0.0076368,0,0
0.087927,0,0
0.025474,0,0
-0.029945,0,0
-0.064615,0,0
-0.02504,0,0
0.088025,0,0
0.021759,0,0
0.0027699,0,0
0.027782,0,0
-0.11966,0,0
-0.016618,0,0
0.051525,0,0
0.089565,0,0
-0.038513,0,0
-0.072678,0,0
-0.022376,0,0
0.075982,0,0
0.052344,0,0
-0.036893,0,0
-0.085869,0,0
-0.0019256,0,0
0.058817,0,0
0.06711,0,0
-0.03086,0,0
-0.031664,0,0
-0.05973,0,0
0.01891,0,0
0.10519,0,0
-0.069111,0,0
0.024751,0,0
-0.033695,0,0
-0.043825,0,0
0.0082491,0,0
0.013012,0,0
0.0053712,0,0
0.14656,0,0
-0.13451,0,0
-0.020743,0,0
0.069634,0,0
-0.022765,0,0
0.012142,0,0
-0.033251,0,0
-0.037029,0,0
0.012238,0,0
0.057923,0,0
0.070537,0,0
-0.091558,0,0
-0.044905,0,0
0.010156,0,0
0.050647,0,0
-0.013798,0,0
0.046041,0,0
-0.027483,0,0
-0.067056,0,0
0.059101,0,0
0.0011563,0,0
-0.052939,0,0
0.14877,0,0
-0.078457,0,0
-0.073782,0,0
0.094658,0,0
-0.0097339,0,0
-0.037559,0,0
-0.05277,0,0
0.0093807,0,0
0.031678,0,0
-0.032149,0,0
0.0044137,0,0
