1,1,1,1,1
-48.5,-51.5,-56,-54,-50.5
-48,-50.5,-55.5,-55,-51.5
-48,-49.5,-54,-55.5,-52.5
-48,-48.5,-52.5,-56,-53.5
-48,-48,-51,-56,-54.5
-48,-48,-50,-55,-55.5
-48,-48,-49,-53.5,-55.5
-48,-48,-48.5,-52,-56
-47.5,-48,-48,-50.5,-55.5
-48,-48,-48,-49.5,-54.5
-48.5,-48,-48,-49,-53
-49,-48,-48,-48.5,-51.5
-49.5,-47.5,-48,-48,-50.5
-51,-48,-48,-48,-49.5
-52,-48.5,-48,-48,-48.5
-54,-49,-48,-48,-48
-56,-50,-47.5,-48,-48
-57.5,-51,-48,-48,-48
-58,-53,-48.5,-48,-48
-57.5,-54.5,-49.5,-47.5,-48
-57,-56.5,-50.5,-48,-48
-56,-57.5,-51.5,-48.5,-48
-54.5,-58,-53.5,-49,-48
-52.5,-57.5,-55.5,-49.5,-47.5
-51,-57,-57,-51,-48
-49.5,-55.5,-58,-52,-48.5
-48.5,-54,-57.5,-54,-49
-48,-52,-57.5,-56,-50
-48,-50.5,-56.5,-57.5,-51
-48,-49,-55,-58,-53
-48,-48.5,-53,-57.5,-54.5
-48,-48,-51.5,-57,-56.5
-48,-48,-50,-56,-57.5
-47.5,-48,-49,-54.5,-58
-47.5,-48,-48.5,-52.5,-57.5
-48,-48,-48,-51,-57
-49,-48,-48,-49.5,-55.5
-49.5,-47.5,-48,-48.5,-54
-51,-48,-48,-48,-52
-52,-48.5,-48,-48,-50.5
-54,-49,-48,-48,-49
-56,-50,-47.5,-48,-48.5
-57,-51.5,-48,-48,-48
-58,-52.5,-48.5,-48,-48
-58.5,-54.5,-49.5,-47.5,-48
-57.5,-56.5,-50.5,-47.5,-48
-56.5,-57.5,-52,-48,-48
-54.5,-58.5,-53,-49,-48
-52.5,-58,-55.5,-49.5,-47.5
-51,-57.5,-57,-51,-48
-50,-56,-58,-52,-48.5
-49,-54,-58.5,-54,-49
-48,-52,-58,-56,-50
-47.5,-50.5,-57,-57,-51.5
-48,-49.5,-55,-58,-52.5
-48,-48.5,-53,-58.5,-54.5
-48,-48,-51.5,-57.5,-56.5
-48,-47.5,-50.5,-56.5,-57.5
-48,-48,-49,-54.5,-58.5
-48,-48,-48.5,-52.5,-58
-48,-48,-48,-51,-57.5
-48,-48,-47.5,-50,-56
-48,-48,-48,-49,-54
-49,-48,-48,-48,-52
-49.5,-48,-48,-47.5,-50.5
-51,-48,-48,-48,-49.5
-52,-48.5,-48,-48,-48.5
-53.5,-49,-48,-48,-48
-55,-50,-48,-48,-47.5
-56,-51.5,-48,-48,-48
-56.5,-52.5,-48.5,-48,-48
-56.5,-54,-49.5,-48,-48
-56,-55.5,-50.5,-48,-48
-55,-56.5,-51.5,-48,-48
-53,-56.5,-53,-49,-48
-51,-56,-54.5,-49.5,-48
-50,-55.5,-55.5,-51,-48
-49,-54.5,-56.5,-52,-48.5
-48.5,-52.5,-56.5,-53.5,-49
-48,-50.5,-56,-55,-50
-48,-49.5,-55.5,-56,-51.5
-47.5,-49,-53.5,-56.5,-52.5
-48,-48,-51.5,-56.5,-54
-48,-48,-50,-56,-55.5
-48,-48,-49.5,-55,-56.5
-48,-47.5,-48.5,-53,-56.5
-48,-48,-48,-51,-56
-48,-48,-48,-50,-55.5
-48,-48,-47.5,-49,-54.5
-48,-48,-47.5,-48.5,-52.5
-48.5,-48,-48,-48,-50.5
-49,-48,-48,-48,-49.5
-50,-48,-48,-47.5,-49
-51.5,-48,-48,-48,-48
-53.5,-48.5,-48,-48,-48
-55,-49.5,-48,-48,-48
-56,-50.5,-48,-48,-47.5
-57.5,-52,-48.5,-48,-48
-57,-54,-49,-48,-48
-57,-55,-49.5,-48,-48
-55.5,-56.5,-51,-48,-48
-53.5,-57.5,-53,-48.5,-48
-51.5,-57,-54.5,-49,-48
