1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-58,-60,-59,-62.5,-59,-59,-59,-58.5,-57.5,-56,-56.5,-56,-56,-56,-56.5
-56,-61,-58,-62,-60,-59,-59,-58.5,-58,-56,-56.5,-56.5,-56.5,-56.5,-56.5
-55,-61.5,-58,-61,-61.5,-59,-58.5,-59,-59,-56.5,-56,-56.5,-56.5,-56.5,-56.5
-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59,-58.5,-57,-56,-57,-56.5,-56,-56.5
-55,-58,-60,-59,-62.5,-59,-59,-59,-58.5,-57.5,-56,-56.5,-56,-56,-56
-55,-56,-61,-58,-62,-60,-59,-59,-58.5,-58,-56,-56.5,-56.5,-56.5,-56.5
-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5,-59,-59,-56.5,-56,-56.5,-56.5,-56.5
-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59,-58.5,-57,-56,-57,-56.5,-56
-55,-55,-58,-60,-59,-62.5,-59,-59,-59,-58.5,-57.5,-56,-56.5,-56,-56
-55,-55,-56,-61,-58,-62,-60,-59,-59,-58.5,-58,-56,-56.5,-56.5,-56.5
-55,-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5,-59,-59,-56.5,-56,-56.5,-56.5
-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59,-58.5,-57,-56,-57,-56.5
-54.5,-55,-55,-58,-60,-59,-62.5,-59,-59,-59,-58.5,-57.5,-56,-56.5,-56
-55,-55,-55,-56,-61,-58,-62,-60,-59,-59,-58.5,-58,-56,-56.5,-56.5
-56,-55,-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5,-59,-59,-56.5,-56,-56.5
-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59,-58.5,-57,-56,-57
-60,-54.5,-55,-55,-58,-60,-59,-62.5,-59,-59,-59,-58.5,-57.5,-56,-56.5
-62,-55,-55,-55,-56,-61,-58,-62,-60,-59,-59,-58.5,-58,-56,-56.5
-62,-56,-55,-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5,-59,-59,-56.5,-56
-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59,-58.5,-57,-56
-60.5,-60,-54.5,-55,-55,-58,-60,-59,-62.5,-59,-59,-59,-58.5,-57.5,-56
-60,-62,-55,-55,-55,-56,-61,-58,-62,-60,-59,-59,-58.5,-58,-56
-60,-62,-56,-55,-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5,-59,-59,-56.5
-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59,-58.5,-57
-61.5,-60.5,-60,-54.5,-55,-55,-58,-60,-59,-62.5,-59,-59,-59,-58.5,-57.5
-62.5,-60,-62,-55,-55,-55,-56,-61,-58,-62,-60,-59,-59,-58.5,-58
-62,-60,-62,-56,-55,-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5,-59,-59
-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59,-58.5
-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58,-60,-59,-62.5,-59,-59,-59,-58.5
-56.5,-62.5,-60,-62,-55,-55,-55,-56,-61,-58,-62,-60,-59,-59,-58.5
-55,-62,-60,-62,-56,-55,-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5,-59
-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5,-59
-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58,-60,-59,-62.5,-59,-59,-59
-54.5,-56.5,-62.5,-60,-62,-55,-55,-55,-56,-61,-58,-62,-60,-59,-59
-55.5,-55,-62,-60,-62,-56,-55,-55.5,-55,-61.5,-58,-61,-61.5,-59,-58.5
-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5,-58.5
-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58,-60,-59,-62.5,-59,-59
-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55,-55,-56,-61,-58,-62,-60,-59
-55.5,-55.5,-55,-62,-60,-62,-56,-55,-55.5,-55,-61.5,-58,-61,-61.5,-59
-55.5,-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63,-58.5
-55,-56,-54.5,-57.5,-61.5,-60.5,-60,-54.5,-55,-55,-58,-60,-59,-62.5,-59
-55,-55.5,-54.5,-56.5,-62.5,-60,-62,-55,-55,-55,-56,-61,-58,-62,-60
-55.5,-55.5,-55.5,-55,-62,-60,-62,-56,-55,-55.5,-55,-61.5,-58,-61,-61.5
-56.5,-55.5,-56,-54.5,-60,-60.5,-61.5,-57.5,-55,-55,-54.5,-60.5,-59,-59.5,-63
