1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5,-55,-55.5,-55,-54.5,-55,-55,-55
-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5,-54.5,-55.5,-55,-55,-55,-54.5,-55
-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55,-55,-55,-54.5,-55
-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55,-55,-55,-55
-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56,-55.5,-55,-55,-54.5,-55,-54.5,-55
-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5,-55,-55.5,-55,-54.5,-55,-55
-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5,-54.5,-55.5,-55,-55,-55,-54.5
-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55,-55,-55,-54.5
-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55,-55,-55
-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56,-55.5,-55,-55,-54.5,-55,-54.5
-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5,-55,-55.5,-55,-54.5,-55
-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5,-54.5,-55.5,-55,-55,-55
-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55,-55,-55
-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55,-55
-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56,-55.5,-55,-55,-54.5,-55
-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5,-55,-55.5,-55,-54.5
-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5,-54.5,-55.5,-55,-55
-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55,-55
-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55
-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56,-55.5,-55,-55,-54.5
-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5,-55,-55.5,-55
-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5,-54.5,-55.5,-55
-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5,-55,-55,-55
-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5,-55.5,-55,-55
-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56,-55.5,-55,-55
-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5,-55,-55.5
-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5,-54.5,-55.5
-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5,-55,-55
-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5,-55.5,-55
-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56,-55.5,-55
-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5,-55
-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5,-54.5
-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5,-55
-58,-57.5,-56.5,-57.5,-56.5,-56,-56.5,-56,-56.5,-56.5,-56,-56,-55.5,-55.5,-55.5
-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56,-56.5,-56.5,-56.5,-56,-55,-56,-55.5
-58,-57.5,-57,-57,-56.5,-56.5,-56.5,-56.5,-56.5,-56,-56.5,-56,-55.5,-55.5,-55.5
-58,-58,-57,-57.5,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-56,-55.5,-55.5,-55.5
-58.5,-58,-57,-56.5,-57,-56.5,-56.5,-56.5,-56.5,-56,-56,-56,-55.5,-55.5,-55.5
