1,1,1
0.090885,5.521,5.7314
0.16567,5.7829,5.4259
0.30533,6.1389,5.4573
0.31617,0.043631,5.4867
0.32326,0.11176,5.5769
0.42861,0.21084,5.9015
0.5176,0.32237,6.2305
0.60762,0.31308,0.070006
0.80898,0.35291,0.13264
1.065,0.45827,0.26815
1.2633,0.54727,0.31927
1.3869,0.65652,0.30998
1.5189,0.89432,0.39349
1.5836,1.1503,0.48794
1.7482,1.2977,0.57727
1.876,1.4348,0.72364
1.9695,1.543,0.97965
2.047,1.6278,1.2164
2.1549,1.7996,1.3389
1.736,1.9098,1.4828
1.1418,1.9953,1.5553
1.2081,2.0779,1.688
1.3046,2.1055,1.8422
1.404,1.506,1.941
1.5543,1.1032,2.0212
1.7941,1.2465,2.1139
1.972,1.3357,1.9659
2.0455,1.4392,1.2761
2.0918,1.6342,1.1603
2.2883,1.8637,1.2755
3.079,2.0088,1.3688
3.7156,2.0578,1.4893
3.8674,2.1231,1.7142
3.951,2.4962,1.923
3.9797,3.3704,2.0333
4.9931,3.7695,2.07
5.8383,3.9018,2.1639
3.5231,3.9681,2.7876
3.6213,4.1497,3.5826
3.7296,5.4988,3.8233
3.7453,5.0003,3.9264
3.5347,3.5558,3.9777
0.6625,3.654,4.4875
4.8209,3.7726,6.0045
3.6634,3.6751,4.0046
3.8646,2.9676,3.5885
4.0975,6.0243,3.6901
4.2406,4.2192,3.7778
4.3223,3.7199,3.6049
4.4041,3.9423,1.9036
4.6323,4.1602,5.4226
5.0474,4.2705,3.8334
5.2349,4.3468,3.787
5.3012,4.4449,4.0199
5.3764,4.7707,4.2079
5.4047,5.1478,4.2978
5.1767,5.2582,4.3714
5.0451,5.3221,4.5238
5.0936,5.4223,4.909
5.1324,5.3287,5.2103
5.2953,5.1007,5.2803
5.5672,5.0655,5.343
5.8322,5.1013,5.4359
5.9529,5.1717,5.2527
6.0267,5.3771,5.0568
6.0948,5.6622,5.0817
6.0635,5.8871,5.1089
6.0039,5.98,5.2269
6.0796,6.05,5.4721
6.156,6.1004,5.7572
6.2434,6.037,5.9219
0.1352,6.0169,6.0033
0.43032,6.1069,6.0727
0.52459,6.1805,6.0899
0.57172,6.2817,6.0106
0.65232,0.23357,6.0496
0.78111,0.49522,6.1314
0.91935,0.53142,6.2097
1.0385,0.59631,0.056848
1.061,0.69058,0.33194
1.1441,0.82694,0.52664
1.2271,0.96555,0.54713
0.94871,1.0457,0.6209
0.4896,1.0887,0.73566
0.21412,1.1717,0.87314
0.312,1.1945,1.0118
0.42416,0.79567,1.0467
0.55983,0.33657,1.1164
0.76218,0.24471,1.1994
0.96999,0.34871,1.1017
1.1398,0.46495,0.64264
1.2249,0.62113,0.24474
1.331,0.83271,0.27734
0.77106,1.033,0.38542
6.1531,1.1759,0.50777
5.9388,1.2548,0.69165
4.7929,1.2581,0.90324
2.7081,0.47066,1.0922
0.42761,5.9672,1.2004
1.6727,5.7694,1.2902
2.5314,4.1984,1.0715
2.6147,1.511,0.17027
2.6955,0.84265,5.8957
2.7942,2.0877,5.3874
2.6712,2.56,3.6039
2.4694,2.6408,0.6504
1.8822,2.7267,1.2577
0.091861,2.7905,2.374
3.7461,2.5929,2.5878
1.8466,2.4576,2.6669
0.52142,1.2854,2.7604
0.14101,5.6385,2.7496
5.2095,2.9214,2.5145
3.0411,1.4048,2.2729
6.2163,0.23716,0.68865
5.1327,6.2371,4.7622
4.1735,4.5868,2.2883
4.0962,1.8178,0.96313
4.1637,5.8551,0.11036
4.2293,4.7715,5.8322
4.1856,4.0613,3.9641
3.9317,4.1187,0.68173
3.7787,4.1863,5.4939
3.8322,4.2498,4.4102
3.8947,4.1009,4.077
3.9811,3.847,4.1412
4.2667,3.7951,4.2081
4.5513,3.8531,4.2352
4.6333,3.9147,4.0163
4.6978,4.0571,3.796
4.7746,4.3715,3.8129
4.7993,4.5965,3.8739
4.7857,4.6548,3.9339
4.8351,4.7193,4.1619
4.8671,4.7956,4.4763
4.8937,4.7948,4.6139
4.9611,4.7929,4.6763
5.2161,4.8507,4.7449
5.4283,4.8753,4.8038
5.4795,4.906,4.7902
5.5195,5.0284,4.8119
5.5815,5.3099,4.8589
5.6911,5.4491,4.8835
5.7916,5.4928,4.9203
5.8064,5.5355,5.1222
5.8433,5.6143,5.3806
5.8884,5.7296,5.4662
5.7518,5.8003,5.5062
5.2189,5.8187,5.5543
4.8911,5.8556,5.6527
