1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.6916,2.498,1.9328,3.5265,5.8775,2.4267,2.2109,3.6373,2.8842,2.4109,0.064276,6.2008,0.023788,5.827,2.1197
1.4621,2.3352,2.6471,3.5665,5.4221,2.5627,2.1901,3.5825,3.5494,2.4142,1.6467,6.2517,6.1921,3.9972,2.8296
1.2603,2.0062,2.594,1.5049,4.105,1.5842,2.1699,2.899,3.7102,2.3995,2.9323,6.2825,6.2115,1.3094,3.1316
1.407,1.8108,2.542,1.2002,3.532,0.097941,2.3029,2.2285,3.6667,2.4762,2.5382,0.030245,6.2207,0.14714,4.8936
1.7005,1.6151,2.4715,2.2992,3.5398,5.8694,2.4886,2.2195,3.6412,3.1291,2.415,0.081292,6.2178,6.257,5.217
1.5604,1.3857,2.2256,2.6291,3.2296,4.9831,2.4058,2.1754,3.4157,3.6556,2.4093,2.6351,6.2686,6.182,3.2443
1.2926,1.2602,1.9188,2.5767,0.9354,3.7846,1.0888,2.1967,2.6407,3.7085,2.3962,2.8009,0.0029097,6.2346,0.59625
1.0188,1.5048,1.7568,2.5215,1.5665,3.5132,6.0481,2.3648,2.1791,3.6458,2.6394,2.452,0.047261,6.2018,0.085464
0.66896,1.7238,1.5386,2.4172,2.5373,3.5532,5.7176,2.5339,2.2048,3.6577,3.3739,2.4161,0.60875,6.2347,6.2187
0.30066,1.462,1.3184,2.1159,2.6114,2.5424,4.544,2.0796,2.1687,3.1574,3.6925,2.4044,3.0636,6.2789,6.1885
6.1553,1.2079,1.3091,1.8537,2.5593,0.83381,3.5829,0.59335,2.241,2.3823,3.6876,2.3946,2.6696,0.013229,6.2376
5.9134,0.90836,1.6026,1.6916,2.498,1.9328,3.5265,5.8775,2.4267,2.2109,3.6373,2.8842,2.4109,0.064276,6.2008
5.7107,0.5462,1.6725,1.4621,2.3352,2.6471,3.5665,5.4221,2.5627,2.1901,3.5825,3.5494,2.4142,1.6467,6.2517
5.6047,0.1623,1.3773,1.2603,2.0062,2.594,1.5049,4.105,1.5842,2.1699,2.899,3.7102,2.3995,2.9323,6.2825
5.6169,6.0525,1.1166,1.407,1.8108,2.542,1.2002,3.532,0.097941,2.3029,2.2285,3.6667,2.4762,2.5382,0.030245
5.5205,5.8439,0.79173,1.7005,1.6151,2.4715,2.2992,3.5398,5.8694,2.4886,2.2195,3.6412,3.1291,2.415,0.081292
5.2021,5.6527,0.42343,1.5604,1.3857,2.2256,2.6291,3.2296,4.9831,2.4058,2.1754,3.4157,3.6556,2.4093,2.6351
4.8738,5.6087,0.0083525,1.2926,1.2602,1.9188,2.5767,0.9354,3.7846,1.0888,2.1967,2.6407,3.7085,2.3962,2.8009
0.79676,5.6209,5.983,1.0188,1.5048,1.7568,2.5215,1.5665,3.5132,6.0481,2.3648,2.1791,3.6458,2.6394,2.452
0.85791,5.416,5.7744,0.66896,1.7238,1.5386,2.4172,2.5373,3.5532,5.7176,2.5339,2.2048,3.6577,3.3739,2.4161
0.3941,5.0926,5.6193,0.30066,1.462,1.3184,2.1159,2.6114,2.5424,4.544,2.0796,2.1687,3.1574,3.6925,2.4044
6.1222,5.2743,5.6128,6.1553,1.2079,1.3091,1.8537,2.5593,0.83381,3.5829,0.59335,2.241,2.3823,3.6876,2.3946
5.7995,1.1671,5.5888,5.9134,0.90836,1.6026,1.6916,2.498,1.9328,3.5265,5.8775,2.4267,2.2109,3.6373,2.8842
5.49,0.70331,5.3098,5.7107,0.5462,1.6725,1.4621,2.3352,2.6471,3.5665,5.4221,2.5627,2.1901,3.5825,3.5494
5.6632,0.21717,4.9832,5.6047,0.1623,1.3773,1.2603,2.0062,2.594,1.5049,4.105,1.5842,2.1699,2.899,3.7102
0.63679,5.9862,6.1846,5.6169,6.0525,1.1166,1.407,1.8108,2.542,1.2002,3.532,0.097941,2.3029,2.2285,3.6667
1.3476,5.7061,1.0125,5.5205,5.8439,0.79173,1.7005,1.6151,2.4715,2.2992,3.5398,5.8694,2.4886,2.2195,3.6412
0.95082,5.3671,0.5487,5.2021,5.6527,0.42343,1.5604,1.3857,2.2256,2.6291,3.2296,4.9831,2.4058,2.1754,3.4157
0.51185,6.0822,0.017902,4.8738,5.6087,0.0083525,1.2926,1.2602,1.9188,2.5767,0.9354,3.7846,1.0888,2.1967,2.6407
6.2322,1.0557,5.8928,0.79676,5.6209,5.983,1.0188,1.5048,1.7568,2.5215,1.5665,3.5132,6.0481,2.3648,2.1791
5.3023,1.2207,5.603,0.85791,5.416,5.7744,0.66896,1.7238,1.5386,2.4172,2.5373,3.5532,5.7176,2.5339,2.2048
6.1793,0.80797,5.4249,0.3941,5.0926,5.6193,0.30066,1.462,1.3184,2.1159,2.6114,2.5424,4.544,2.0796,2.1687
