E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-40,6.252505691
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-39.5,6.277049384
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50,0.362019466
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50,0.325203927
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-39.5,6.203418306
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-39.5,6.209554229
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50.5,0.294524311
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,924.25,-50,0.21475731
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,924.25,-39.5,6.227961999
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.804583301
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-50.5,6.203418306
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.755495916
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-50.5,6.166602767
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-51,6.203418306
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.767767762
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.792311455
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-50,6.166602767
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,925.75,-50,6.264777538
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,925.75,-39.5,5.761631839
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.25,-39.5,5.651185223
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.25,-51,5.982525073
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.25,-40,5.632777453
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.25,-50,6.062292074
E200 9366 C6B6 8171 9071 BE05,1.55918E+15,926.25,-50,6.062292074
E200 9366 C6B6 1231 9071 BC48,1.55918E+15,926.25,-40,5.577554145
