E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-47.5	3.227495578
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-49	3.454524734
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-60	1.018563243
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-57.5	0.785398163
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-49	3.319534425
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-49	3.577243197
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-59.5	4.417864669
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-50	3.761320892
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-53.5	5.589825991
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-52.5	2.926835343
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-51.5	3.626330583
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-53.5	3.184544116
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-51.5	3.83495197
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-51	4.393320977
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-57	3.515883966
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-51.5	4.884194829
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.75	-59.5	2.853204265
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-52.5	5.503923067
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-51.5	5.85980661
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-51.5	6.240233845
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-51	6.221826076
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-50.5	5.344389065
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-51	5.319845372
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-50	5.454835682
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.75	-64.5	5.7248163
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-50	5.602097837
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-50	5.663457069
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-50	0.515417545
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-50	0.595184546
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-50	0.454058313
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.25	-62.5	0.417242774
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-51	0.312932081
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.75	-60	4.289010283
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-52	5.681864838
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.75	-59.5	4.111068512
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-54	5.123495832
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.75	-59.5	4.933282214
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.75	-53	5.663457069
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.75	-60.5	4.822835597
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.75	-53.5	5.632777453
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.75	-62.5	4.362641361
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.75	-52.5	5.890486225
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-52.5	5.448699759
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-53	5.240078371
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-53	5.669592992
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-52.5	5.85980661
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-52.5	6.007068765
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-52	6.215690153
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-53.5	0.908116626
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-52	1.092194321
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-52.5	1.214912784
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-53	1.086058398
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.25	-64	5.700272608
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-53.5	0.803805933
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.25	-63	2.270291566
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-54	0.724038932
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.25	-63	5.325981296
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-54	0.386563159
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-63	1.405126402
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-53	0.34974762
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-63	1.239456477
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-53.5	0.417242774
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-61.5	3.902447124
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-53.5	0.527689391
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-64	0.44792239
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-54	0.619728238
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-64.5	0.576776776
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.25	-54.5	0.417242774
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.25	-61.5	1.331495324
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.25	-53.5	0.460194236
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.25	-61	5.522330836
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.25	-54	0.91425255
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.75	-53	1.779417714
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.75	-53.5	1.429670094
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.75	-62	0.153398079
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.75	-53.5	1.294679785
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.75	-65	5.614369684
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.75	-53	1.184233168
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.75	-60.5	0.46633016
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-53.5	1.043106936
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-54	0.674951547
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-53	0.693359316
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-57	1.043106936
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-53	0.668815624
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-55.5	2.14143718
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-54.5	1.135145783
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-53	0.362019466
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-53.5	6.080699843
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-59.5	5.399612373
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-52.5	0
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-49	4.16629182
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-53	6.031612458
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-48	4.657165672
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-53	6.025476535
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.75	-48	1.607611866
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-53	0.171805848
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-53.5	0.306796158
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.75	-45.5	2.675262494
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.75	-41.5	3.785864585
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-53	0.036815539
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.75	-41.5	4.14788405
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.75	-44	4.301282129
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-53	6.264777538
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-53	0.300660234
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.75	-46	4.190835513
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.75	-50.5	2.018718717
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-53.5	5.878214379
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-53	5.645049299
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.75	-55	0.030679616
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-53	5.589825991
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.75	-61	2.129165334
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.75	-54	5.387340527
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.75	-59	0.337475773
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-53	0.196349541
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.25	-56	4.307418052
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-51.5	0.257708772
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.25	-61.5	0.368155389
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-54.5	0.030679616
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.25	-57.5	0.34974762
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-53	0.325203927
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.25	-57	6.031612458
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-52.5	0.122718463
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.25	-52	0.11658254
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-52	5.338253142
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.75	-53	4.761476366
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.75	-52.5	4.669437518
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-52	5.51005899
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-52.5	5.933437688
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.75	-54.5	3.319534425
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-53	5.994796919
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-53.5	5.95798138
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.75	-54	6.105243536
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.75	-54.5	4.190835513
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.75	-56	1.067650628
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.75	-53.5	0.748582624
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.75	-53.5	0.840621472
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.75	-62.5	5.197126909
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.75	-56.5	4.374913207
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.75	-53.5	1.2455924
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	923.75	-53	1.2455924
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	923.75	-55	4.608078287
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.25	-52	2.558679954
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-54.5	0.687223393
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-54.5	0.920388473
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.25	-55	2.662990648
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	927.25	-55	1.748738098
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-54.5	1.57693225
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	927.25	-54.5	2.02485464
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-52.5	3.325670348
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.25	-58	2.251883797
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-52.5	3.245903347
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.25	-57.5	5.362796834
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-52	4.601942364
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.25	-57	5.350524988
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.25	-53.5	4.865787059
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	924.25	-57.5	2.288699336
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-52.5	4.589670517
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-56.5	5.129631755
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-53	4.96396183
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-56.5	5.197126909
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-56	2.343922644
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-55.5	5.41188422
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-53.5	6.050020227
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-55	2.23961195
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.75	-55.5	2.528000338
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.75	-56	6.142059075
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.25	-59.5	6.086835766
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.25	-55	2.773437264
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.25	-55	2.613903263
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.25	-67	3.442252888
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.25	-56	2.626175109
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.25	-69.5	0.981747704
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.25	-55.5	2.626175109
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	926.25	-65	0.44792239
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	926.25	-57.5	6.123651305
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.75	-52.5	4.227651051
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.75	-50.5	2.932971266
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.75	-60.5	2.331650798
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.75	-50	1.945087639
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.75	-62	0.012271846
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-52	6.043884304
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-64	4.196971436
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-52	5.399612373
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-62	4.51603944
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-52.5	2.994330498
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-60.5	6.185010537
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	922.25	-50.5	1.288543862
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	922.25	-59	0.484737929
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-56	3.405437349
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-55.5	3.479068427
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-54	3.736777199
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-55	3.086369345
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-54	1.81009733
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-54	3.331806271
E200 9366 C6B6 1231 9071 BC48	1.55884E+15	925.25	-54	3.607922813
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	925.25	-55.5	1.208776861
E200 9366 C6B6 8171 9071 BE05	1.55884E+15	924.75	-55	6.092971689
