x,y,z
-0.0005367230623960495,0,0
-0.00016624480485916138,0,0
0.0005805417895317078,0,0
0.0006971703842282295,0,0
0.0006613600999116898,0,0
-0.00042146770283579826,0,0
-0.0001544775441288948,0,0
-6.66128471493721e-06,0,0
-0.0005455040372908115,0,0
-0.0009656175971031189,0,0
-0.00010276306420564651,0,0
-0.00023219315335154533,0,0
-0.0002626674249768257,0,0
7.633864879608154e-05,0,0
-0.00041901133954524994,0,0
-3.2510608434677124e-05,0,0
0.0003293026238679886,0,0
-0.0005145780742168427,0,0
-6.39292411506176e-05,0,0
0.0002929135225713253,0,0
-3.991648554801941e-05,0,0
0.00012170989066362381,0,0
-0.0006810193881392479,0,0
-0.0009714271873235703,0,0
0.00031138909980654716,0,0
-0.0004834630526602268,0,0
-0.0006285249255597591,0,0
6.0206279158592224e-05,0,0
-0.0007013501599431038,0,0
0.0004875538870692253,0,0
-0.0009599565528333187,0,0
-0.0007243743166327477,0,0
-0.0003686901181936264,0,0
-0.0008576582185924053,0,0
-0.0003182385116815567,0,0
-0.000470542348921299,0,0
-0.000277108047157526,0,0
0.00040223030373454094,0,0
-9.835558012127876e-05,0,0
-9.952113032341003e-05,0,0
-0.0002334187738597393,0,0
-0.00033945171162486076,0,0
0.0003892602398991585,0,0
-0.00040937308222055435,0,0
-0.0004794714041054249,0,0
-0.00022596772760152817,0,0
0.0010845446959137917,0,0
-0.001063368283212185,0,0
1.811748370528221e-05,0,0
-0.00037889648228883743,0,0
-0.0004914859309792519,0,0
-0.0002412819303572178,0,0
-0.0006628739647567272,0,0
-0.000252030324190855,0,0
-0.0004896125756204128,0,0
-0.0002300366759300232,0,0
-0.000340411439538002,0,0
-0.00022783828899264336,0,0
-0.0008594607934355736,0,0
-0.0010351412929594517,0,0
-0.00028932932764291763,0,0
-0.000996775459498167,0,0
-0.001036297995597124,0,0
-0.0004017408937215805,0,0
-0.0005974927917122841,0,0
-0.00014528166502714157,0,0
-0.000405261293053627,0,0
-0.0006152316927909851,0,0
-0.0006179283373057842,0,0
-0.0004622647538781166,0,0
-0.00037783849984407425,0,0
-0.0011206651106476784,0,0
-0.0019317870028316975,0,0
-0.011940982192754745,0,0
-0.0023749545216560364,0,0
-0.056692223995923996,0,0
-0.04728088900446892,0,0
0.003408624790608883,0,0
0.031791798770427704,0,0
-0.003939555957913399,0,0
-0.0360305979847908,0,0
-0.04658694565296173,0,0
-0.02584248036146164,0,0
0.006052413024008274,0,0
-0.011794167570769787,0,0
0.03540361300110817,0,0
0.008620871230959892,0,0
-0.05102703720331192,0,0
0.03350561857223511,0,0
0.006505189463496208,0,0
0.013739028945565224,0,0
-0.016255680471658707,0,0
-0.009348195977509022,0,0
-0.0008195629343390465,0,0
0.010328417643904686,0,0
0.023920180276036263,0,0
-0.0017688432708382607,0,0
-0.02320420742034912,0,0
0.027449894696474075,0,0
-0.018032163381576538,0,0
-0.029724624007940292,0,0
-0.0036850059404969215,0,0
-0.01746397465467453,0,0
0.011975402943789959,0,0
